Price,Close,High,Low,Open,Volume,50_MA,200_MA,Volatility,Daily Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2019-01-02,37.66718673706055,37.88901287019494,36.78704481309749,36.9444693411881,148158800,,,,
2019-01-03,33.915252685546875,34.75723031072386,33.86993317854554,34.34220305872549,365248800,,,,-0.09960749332580665
2019-01-04,35.363075256347656,35.43224829276365,34.2992750451496,34.473394125186296,234428400,,,,0.04268942308124912
2019-01-07,35.28435134887695,35.49902207708739,34.800154811914446,35.46801323378757,219111200,,,,-0.002226161240221125
2019-01-08,35.95698928833008,36.21220814004065,35.425089238657485,35.67314912223568,164101200,,,,0.019063350004719037
2019-01-09,36.56760025024414,36.858595734256404,35.689846005675946,36.0857875184234,180396400,,,,0.01698170436400348
2019-01-10,36.68447494506836,36.72502301688656,35.983223685249385,36.37439738697707,143122800,,,,0.003196127009276184
2019-01-11,36.32431411743164,36.66062916232733,36.138268271220596,36.46504408995487,108092800,,,,-0.009817799714348596
2019-01-14,35.77810287475586,36.08102516483244,35.592057030970075,35.98084691352754,129756800,,,,-0.015037069685884585
2019-01-15,36.510372161865234,36.586696907659075,35.7900384933339,35.842513348364925,114843600,,,,0.0204669680131655
2019-01-16,36.95638656616211,37.180596538089034,36.49365596699989,36.51273805392303,122278800,,,,0.012216101285396741
2019-01-17,37.17582702636719,37.60516490547045,36.555671907714014,36.77988189121995,119284800,,,,0.005937822406208992
2019-01-18,37.404808044433594,37.65763933734888,37.20444794328947,37.56700033062978,135004000,,,,0.006159406162073999
2019-01-22,36.565216064453125,37.38334014007424,36.403020131262494,37.30701542527696,121576000,,,,-0.02244609781135909
2019-01-23,36.713104248046875,37.00409978164385,36.1835880239302,36.76796298779607,92522400,,,,0.004044504573228025
2019-01-24,36.42210388183594,36.84667036346506,36.193126087459284,36.7584188843341,101766000,,,,-0.007926335083103697
2019-01-25,37.62900924682617,37.71726434535459,36.80850142474928,37.08518255985708,134142000,,,,0.033136618601324885
2019-01-28,37.28078079223633,37.287936121047366,36.65108638010935,37.15913292337564,104768400,,,,-0.009254255202565953
2019-01-29,36.894378662109375,37.71727795602071,36.75842376107418,37.26885789319794,166348800,,,,-0.010364646928409327
2019-01-30,39.41553497314453,39.63020208904466,38.2181603651777,38.93849370266774,244439200,,,,0.06833442932119072
2019-01-31,39.69938659667969,40.30999901721812,39.25096650804929,39.62067432753475,162958400,,,,0.007201516451027734
2019-02-01,39.718467712402344,40.30522659226303,39.57773773431321,39.82341740201307,130672400,,,,0.00048064006420323047
2019-02-04,40.84666442871094,40.944458776160424,39.89973708480651,39.9307459363238,125982000,,,,0.028404839896588152
2019-02-05,41.54552459716797,41.76019536344644,41.10903501542785,41.230679235310284,144406400,,,,0.017109357109850176
2019-02-06,41.559837341308594,41.877070227096375,41.22829379954388,41.65762803699635,112958400,,,,0.00034450748376402274
2019-02-07,40.77272415161133,41.4882861658143,40.62961029295609,41.120962293716275,126966800,,,,-0.018939275032121228
2019-02-08,40.82062911987305,40.88051502481208,40.343936000705995,40.480477618436844,95280000,,,,0.0011749268477521113
2019-02-11,40.58586502075195,41.01225593503974,40.54274893292941,40.973928086878736,83973600,,,,-0.005751114183754735
2019-02-12,40.935611724853516,40.96196167096465,40.65055421378195,40.74637386107052,89134000,,,,0.008617451024457212
2019-02-13,40.76553726196289,41.31648839690441,40.703257227808,41.05538669141581,89960800,,,2.1895887095649584,-0.0041546823346325645
2019-02-14,40.914058685302734,41.02424672424616,40.573907119850794,40.652956967864775,87342800,,,2.252327311987033,0.003643308375538723
2019-02-15,40.823028564453125,41.129644145318814,40.66253475690202,41.02185023339894,98507200,,,2.1609848390820985,-0.0022249105509131173
2019-02-19,40.9451904296875,41.06736001881353,40.600250676952555,40.652950567331295,75891200,,,2.1368571654393422,0.0029924743344678095
2019-02-20,41.20867919921875,41.517692444984895,40.95955549985414,41.007463481830634,104457600,,,2.101308066586074,0.0064351579945323145
2019-02-21,40.97632598876953,41.290127507368545,40.7942741759188,41.153589561516775,68998800,,,2.073864641510141,-0.005638453232774898
2019-02-22,41.43385696411133,41.441042979730874,41.052983515694336,41.10089150487306,75652800,,,2.076961784118169,0.011165739345865067
2019-02-25,41.735687255859375,42.12853867814377,41.66861532926052,41.71892110178259,87493600,,,2.0838579022405774,0.007284629379531005
2019-02-26,41.75963592529297,41.991993508027974,41.48176447406314,41.6111200640111,68280800,,,2.060293690626093,0.0005738175410117119
2019-02-27,41.88899612426758,41.92013796783325,41.3763728690382,41.49135645059792,111341600,,,1.9915016808770742,0.0030977329209964655
2019-02-28,41.476985931396484,41.8985851393733,41.42189190949821,41.75725524812944,112861600,,,1.931618629442998,-0.009835761918209451
2019-03-01,41.91294479370117,41.956060888063966,41.4146936574631,41.74765912168646,103544800,,,1.8949687845432603,0.010510861686665596
2019-03-04,42.123741149902344,42.57887250221398,41.67339803761648,42.08541329882588,109744800,,,1.8622524488236976,0.005029385485527893
2019-03-05,42.047096252441406,42.15968205944365,41.80994672500447,42.145310025383104,78949600,,,1.8236960431985705,-0.0018195178151007019
2019-03-06,41.805152893066406,42.03751049302754,41.666217157151316,41.84108297341277,83241600,,,1.7060230023798462,-0.0057541038725343885
2019-03-07,41.32128143310547,41.785996719263494,41.20630149951515,41.64945507831872,99185600,,,1.56194992190876,-0.011574445408646938
2019-03-08,41.419490814208984,41.45781867305242,40.602646141444055,40.79907367665731,95997600,,,1.3567226241775423,0.0023767264154792578
2019-03-11,42.85435485839844,42.90705475053342,42.003977877888914,42.03751384059792,128044000,,,1.2763181087774693,0.0346422424801327
2019-03-12,43.33584213256836,43.757437636180654,42.96694286865486,43.117856536178195,129870400,,,1.1545462459686249,0.011235433966066521
2019-03-13,43.52747344970703,43.90834693397059,43.33823194019415,43.6568253981783,124130000,,,0.9313544178513995,0.0044220051511276726
2019-03-14,44.0113525390625,44.099986172540426,43.73108691515278,44.05207451978656,94318000,39.54560585021973,,0.9806963050096397,0.011116636253067913
2019-03-15,44.5838508605957,44.87370020664478,44.013739613921665,44.279633139418074,156171600,39.683939132690426,,1.0737990051921529,0.013007969273952202
2019-03-18,45.038997650146484,45.127627630121516,44.50481268423462,44.507210460004316,104879200,39.90641403198242,,1.177283224932764,0.010208781448106219
2019-03-19,44.68207550048828,45.27135447137798,44.53595373184279,45.11804668584386,126585600,40.092794036865236,,1.2710486890159125,-0.007924735635342017
2019-03-20,45.0725212097168,45.391114611993856,44.25088482381387,44.61020019636236,124140800,40.28855743408203,,1.3889954024349547,0.008738307360504072
2019-03-21,46.732566833496094,47.02960225648532,45.46777673422874,45.518082505798304,204136800,40.50406898498535,,1.6236924633518135,0.03683054728745505
2019-03-22,45.76481628417969,47.355386016397915,45.7001384735137,46.79245696182492,169630800,40.688013305664064,,1.7199837999136045,-0.02070826866335873
2019-03-25,45.21147155761719,45.98759067420643,44.69884827308564,45.87500486195989,175381200,40.85855323791504,,1.7656869815519616,-0.012091050975196027
2019-03-26,44.74435043334961,46.20317383299277,44.21496108876492,45.91093032900251,199202000,41.0269539642334,,1.768336584774633,-0.010331915953504911
2019-03-27,45.14678955078125,45.455799234199034,44.68686620643027,45.21386147671915,119393600,41.21432769775391,,1.7903103256949884,0.008994188395496039
2019-03-28,45.2066764831543,45.407892265521994,44.92161896389378,45.261770497461804,83121600,41.38825378417969,,1.7962838215363128,0.0013264937101604701
2019-03-29,45.50130844116211,45.53245028041847,45.16355107046687,45.47256437732267,94256000,41.55915222167969,,1.8086623197572567,0.00651744346031724
2019-04-01,45.810325622558594,45.91572175059921,45.12523068699291,45.906141613557615,111448000,41.73184219360351,,1.8172443264794311,0.0067913911046333375
2019-04-02,46.476261138916016,46.58166093233031,45.76481618851566,45.77439632648691,91062800,41.913271255493164,,1.8494127008176315,0.014536799450940663
2019-04-03,46.79485321044922,47.07032694424774,46.2678542594757,46.29181008639122,93087200,42.117863998413085,,1.8921401953319,0.006854941936506931
2019-04-04,46.87628936767578,47.0391772671093,46.26545243450927,46.660697926775335,76457200,42.32112770080566,,1.9079948123426613,0.0017402802154400376
2019-04-05,47.190093994140625,47.21404981863245,46.93378056163148,47.058344269726845,74106400,42.53648750305176,,1.942989353219759,0.006694314560683479
2019-04-08,47.93268585205078,47.96382404106772,47.0319993882877,47.051163318915215,103526800,42.74256103515625,,2.0145295864497057,0.015736180945144174
2019-04-09,47.78895950317383,48.59143221503495,47.72428169243538,47.98538705610313,143072800,42.952724609375,,2.0552752780381565,-0.0029985039711852846
2019-04-10,48.05724334716797,48.08599106914414,47.472756287312095,47.5925281059663,86781200,43.17598190307617,,2.095686638032632,0.005613929384177485
2019-04-11,47.65721130371094,48.14827654678451,47.53504535071354,48.112346459181225,83603200,43.3408154296875,,2.0734509883933874,-0.008324073866808779
2019-04-12,47.63804244995117,47.942263895762856,47.0008591463609,47.71709228965716,111042800,43.49958854675293,,2.053596870244142,-0.00040222357195018876
2019-04-15,47.724273681640625,47.87279320933779,47.43203017716153,47.56857179300715,70146400,43.65970466613769,,2.030162303665505,0.0018101338185767535
2019-04-16,47.72906494140625,48.236896231863994,47.56377926343582,47.77937070845417,102785600,43.797352676391604,,1.9841123971971577,0.00010039460836197556
2019-04-17,48.65849304199219,48.71837894248983,47.5757549375541,47.798528732935594,115627200,43.93961204528809,,1.9435683210105115,0.019473000397701723
2019-04-18,48.83336639404297,48.90283244109063,48.51237879500945,48.65610278532575,96783200,44.085082626342775,,1.843590396894871,0.0035938916542250787
